"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C"
"Bin_36_15",3.71238635582571,3.30855866136892,3.12314043234519,3.50420875368365,2.28216953636632,3.24849687633196,2.46447398051412,0.310020573500852
"Bin_36_2",3.73840172365266,3.11809860635003,3.07738299945118,2.04692915547734,1.83505491470806,2.85408078607924,1.18923270143599,0.146327374031817
"Bin_36_5",3.44822806030756,2.10518627956018,2.64423594630592,1.78626323850198,1.10320195956717,2.57435086317159,0.966301748592749,-0.130103253305428
"Bin_36_7",3.51978027611961,3.13915910213078,2.9347157657625,2.40915749673074,1.47121007310708,2.75770187456526,1.56638750035117,-0.164605189360898
"Bin_37_1",0.431954327192964,1.40942102745281,1.08419199846962,3.57752670983073,2.78432913223957,1.91616078908248,3.0813915134148,3.40542404590305
"Bin_37_10",2.31870990724326,0.683274414717535,0.747037089433932,3.20741502242879,2.47138239774006,1.62171114064307,2.28292318880634,3.72082830620069
"Bin_37_2",0.362840781243805,0.733360098420067,0.896493068535732,3.1252283628157,2.45492815916374,1.2960619274297,2.22510773247688,3.84299377778977
"Bin_37_3",0.167582393894081,3.71251627211787,2.68527284303453,3.96681758627081,4.33441900898205,3.40214801382103,4.69680394257951,4.69680394257951
"Bin_37_6",0.418428731539336,1.96704235580986,1.68021597094283,3.2314884322712,2.8388372129456,2.05114704494277,3.27444934128994,3.93508923280754
"Bin_37_9",1.39744259216103,0.421912607358737,0.203694553319703,3.00583071743118,2.25801662963943,1.50543110298458,2.06930321799126,3.08224406874488
"Bin_38_2",3.53967508237785,3.27410306212774,3.04935430828843,0.890515239784541,0.691679745630554,1.81052257215225,1.04681866717769,1.52510270473903
"Bin_39_4",4.02365002099673,3.72273469054316,3.08223567135796,1.21432505227376,0.318448903645845,1.5642958471607,1.12779636550323,0.935872848258072
"Bin_39_6",4.24872089601666,4.09097914578884,3.70940673315683,1.01819758746983,0.649316817599447,0.646673075115049,1.89308613010166,2.20612848941605
"Bin_39_7",4.26680273489343,4.39147396642281,3.85553476883507,1.38921209009563,0.690260923471768,0.975378975022122,2.13908222306433,2.1671447478462
"Bin_39_8",3.71746625023061,3.98425893714963,3.50014665290707,1.47662118771493,0.886681595888003,0.883207812996807,1.79279548178432,1.80678646390217
"Bin_3_15",-0.1191657252028,3.30459275535336,2.9488405288965,3.00516218218913,2.91750724890543,1.54342868217991,3.02284500682752,3.79585558896651
"Bin_3_17",-0.134609882835175,1.49368807538899,1.6124964176457,3.15249458768115,3.38897382133184,1.84376714473914,3.17719337566806,4.14691047014813
"Bin_3_9",0.089678011486966,2.13620199616525,1.59657808349878,3.55562414170059,3.70719254755386,2.72693642562364,3.81079893794736,4.11463877996849
