"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C","bins","taxa"
"Bin_45_2",5.41e-05,9.92e-05,0.000213846,0.132067002,0.098920342,0.041646354,0.01058351,0.015186256,"Bin_45_2","Chloroflexota"
"Bin_45_3",0.000112742,0.000180333,0.000204549,0.260768098,0.02672518,0.450779813,0.002082818,0.002455915,"Bin_45_3","Chloroflexota"
"Bin_46_1",0.000110487,0.00013525,0.000288228,0.02828791,0.065224065,0.003342994,0.03178971,0.162339972,"Bin_46_1","Verrucomicrobiota"
"Bin_46_3",0.000121761,0.000265991,0.000576456,0.041905086,0.175010006,0.002203013,0.043307153,0.401062908,"Bin_46_3","Acidobacteriota"
"Bin_46_5",0.000137545,0.000261483,0.000436991,0.0098788,0.030406367,0.001986417,0.022136955,0.290123416,"Bin_46_5","Acidobacteriota"
"Bin_46_6",0.000146564,0.000279516,0.000446288,0.031894021,0.016828635,0.000994633,0.002134703,0.421866863,"Bin_46_6","Acidobacteriota"
"Bin_46_7",9.02e-05,0.0001623,0.000381205,0.016262469,0.004100502,0.007093531,0.027735256,0.477571137,"Bin_46_7","Verrucomicrobiota"
"Bin_47_1",0.000160093,0.000225416,0.00067873,0.159178213,0.106719097,0.135483885,0.05412997,0.027233587,"Bin_47_1","Gammaproteobacteria"
"Bin_47_4",8.34e-05,0.000306566,0.000353312,0.099352028,0.134777792,0.024338593,0.091491509,0.025005342,"Bin_47_4","Gammaproteobacteria"
"Bin_47_5",0.000128525,0.000342632,0.000483479,0.044130781,0.110522178,0.02094715,0.141008996,0.013965614,"Bin_47_5","Gammaproteobacteria"
"Bin_48_1",0.000148819,0.00018935,0.000446288,0.003288373,0.24877272,0.001296728,0.029886902,0.01417774,"Bin_48_1","Chloroflexota"
"Bin_48_2",6.76e-05,7.66e-05,0.000167358,0.00359395,0.120482107,0.000512991,0.007875953,0.00256655,"Bin_48_2","Actinobacteriota"
"Bin_48_3",0.000171367,0.000193858,0.000529967,0.002321472,0.833810974,0.001154231,0.02463909,0.142162339,"Bin_48_3","Chloroflexota"
"Bin_48_4",8.12e-05,0.0001623,0.000427693,0.006932491,0.230191254,0.007005183,0.119820797,0.014527018,"Bin_48_4","Chloroflexota"
